barcode_hashed,age_days,full_cap_min,pct_lvl_max,min_dchrg_fcc,dchrg_diff,EBL,total_chrg_cnt,cnt_USB_chrg,shtdn_total,btlow_total,call_drop_sum,call_tot_mins,calls_tot,msgs_tot,pics_tot,sst_poor_time_ratio,ratio_3G,ratio_4G,ratio_5G,wifi_hrs,wifi_connections,mobile_rx_MB,mobile_tx_MB,son_hrs,primary_mem_free_MB,bt_conns,CRASH_total,full_cap_min_ratio,pct_lvl_max_ratio,min_dchrg_fcc_ratio,dchrg_diff_ratio,EBL_ratio,total_chrg_cnt_ratio,cnt_USB_chrg_ratio,shtdn_total_ratio,btlow_total_ratio,call_drop_sum_ratio,call_tot_mins_ratio,calls_tot_ratio,msgs_tot_ratio,pics_tot_ratio,sst_poor_time_ratio_ratio,ratio_3G_ratio,ratio_4G_ratio,ratio_5G_ratio,wifi_hrs_ratio,wifi_connections_ratio,mobile_rx_MB_ratio,mobile_tx_MB_ratio,son_hrs_ratio,primary_mem_free_MB_ratio,bt_conns_ratio,CRASH_total_ratio
91ae4cf61d5b9772c2398ed7a61c092158cf733c7e8d56b2a99f640b8af46546,1397,3037000.0,100.0,2958.0,81.0,8.0,13.0,7.0,1.0,0.0,0.0,2.0,63.0,181.0,3.0,30.57,17.6,82.4,0.0,11.0,19.0,2.0,1.0,10.0,34907.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
89301c6cac4118c62780441781ecf4a08b942234528f380e4d2d4130ecea92b6,416,-1.0,84.0,-1.0,49.0,88.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,38778.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
8fb7e74d01afb196d5f8ed4e4de5b130dc258ebf62de1d195113a82b84633bea,121,-1.0,90.0,-1.0,14.0,40.0,4.0,1.0,1.0,0.0,0.0,0.0,,,,25.58,90.33,1.21,0.0,2.0,0.0,0.0,0.0,2.0,7969.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
a6e2b65a379c493364c37b9f84e09b1163cd9439ac839e49c198a18fb7e9f144,565,-1.0,90.75,-1.0,105.5,22.5,3.0,0.0,0.25,1.75,0.0,0.0,,,,2.47,15.68,84.3175,0.0,2.0,0.0,158.25,11.75,5.25,20813.5,0.0,2.25,1.0,0.9836,1.0,1.1206,0.8367,1.4,0.0,0.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.4857,0.5955,1.099,0.0,1.0,0.0,7.5541,2.3571,1.1,1.0621,0.0,0.2857
64f72d2b6c0d0457dd6a75a40cd9f4f8afb53721c4c3643ddaccb3cc562b4da9,1385,3013.0,92.0,-1.0,64.0,18.0,8.0,1.0,0.0,7.0,0.0,0.0,,,,11.26,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2209.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
320b6b51f44d79ec8328f84c256e073f362d9abb584f6df7b70df9a2a29f869c,824,2946.0,65.0,-1.0,42.0,52.0,2.0,0.0,1.0,1.0,0.0,0.0,,,,10.31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,31038.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
a4606158de2a814b094574060b530974e9e5c592ea395667704be584366dc5ca,234,4953.0,99.0,4937.0,85.0,25.5,3.25,0.75,1.0,0.5,0.75,0.5,2.75,105.5,57.75,19.317500000000003,89.7525,1.3725,0.0,21.5,4.25,0.25,3.5,7.75,63627.5,3.0,1.0,0.9996,0.9899,1.0,0.9318,1.0816,1.1667,0.0,1.0,0.0,2.0,0.0,1.2,1.1641,0.8333,0.1375,1.2,1.4842,0.0,1.0976,0.8889,0.0,0.0,0.8235,1.0785,0.0,1.0
0889cd03b00d4b2407a6abc487a7a7e32fbd05be39094f9d980f3a3925344e9b,51,4964.0,94.0,4990.0,51.0,45.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,32.0,45.0,0.75,0.7,99.16,0.0,29.0,6.0,297.0,45.0,5.0,200185.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0543b5a60b1c03cd2f2554fc4ff06a3a0c980f0f32acea36c5835b925a83343d,1966,-1.0,93.0,3000.0,126.75,17.75,3.5,0.25,0.0,1.75,0.0,3.0,2.5,221.0,14.25,19.9975,0.05,99.945,0.0,13.0,4.75,316.0,39.5,6.75,260.5,4.75,0.0,1.0,0.9787,1.0,0.95,1.0286,1.0,0.0,0.0,0.75,0.0,5.0,0.25,2.9641,1.5909,0.7819,0.4286,1.0004,0.0,0.5758,1.1111,2.6532,1.9811,1.25,1.3104,0.0,0.0
cc9ad9cff573dafa5883e58190f7e9feef5f2e81a42b02dbdd105cad27a2b4c8,1854,3873.0,89.5,4099.0,65.0,63.0,7.75,0.5,1.0,1.0,0.5,7.249999999999998,3.5,32.5,6.75,0.6275,94.0225,5.9725,0.0,20.25,2.75,0.5,0.0,0.75,12598.0,0.0,2.5,0.9394,1.2236,1.0,1.4762,0.2727,2.1,1.0,1.0,1.0,1.0,3.8333,1.3333,0.9697,1.0769,0.3568,1.0932,0.1757,0.0,0.6875,1.2,1.0,0.0,2.0,1.1345,0.0,1.5
754c2ebf532ecfc6b76430c8c6364c6107e3d58345201ba5e4a7ff90b769fd52,165,4872.75,86.0,5142.0,64.75,35.25,2.0,0.0,0.0,1.25,0.0,0.25,7.75,133.25,37.25,0.1525,11.864999999999998,87.95750000000001,0.0,23.25,6.75,39.25,5.75,6.25,147284.0,2.75,1.25,1.0248,0.9545,1.0,0.9185,1.1045,1.0,0.0,0.0,1.5,0.0,0.0,0.7222,1.05,0.5521,0.8485,1.5613,0.9439,0.0,1.0217,1.25,0.3193,0.9167,0.9231,1.1163,0.0,1.5
7e6e93b8a04673cba188a017256ba1ef57c3d57db4280626a54b2aa060a20f99,1103,4005.0,89.0,5007.0,117.0,15.0,9.0,0.0,1.0,3.0,0.0,0.0,17.0,11.0,28.0,0.11,98.26,0.0,0.0,19.0,5.0,0.0,0.0,9.0,10776.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
c71c2495a8aaf8042c0d3024af901dc11d7302762dd48e77af7d4a7ac27abb8f,314,-1.0,96.0,-1.0,119.0,15.5,6.75,0.0,1.25,1.5,0.0,0.0,,,,12.080000000000002,7.8675,91.9625,0.0,2.0,0.0,466.0,43.5,8.5,57652.75,0.0,12.0,1.0,0.9896,1.0,1.1345,0.9375,0.8,0.0,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.34,0.2669,1.1083,0.0,1.0,0.0,2.3768,2.0526,1.0,1.072,0.0,1.1818
